name,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
Hoodoo Ski Area,,,,,,,,,3,1,,1,,,,,,1,6,No
Mount Ashland,,,,,,,,,,3,,2,,,,,,1,6,No
Mount Bachelor,,,,,,1,,7,1,3,,,,,,,,3,15,No
Mount Hood Meadows,,,,,,1,,5,1,,,3,,,,,,1,11,No
Mount Hood Skibowl,,,,,,,,,,,,4,,,,1,2,2,9,No
Timberline (Oregon),,,,,,,,6,,,,2,,,,,,1,9,No
Warner Canyon,,,,,,,,,,1,,,,,,,,,1,No
Willamette Pass,,,,,,1,,,,4,,,,,,,,1,6,No
Bear Creek Mountain Resort,,,,,,,,,3,1,,,,,,,,1,5,No
Big Boulder,,,,,,,,,2,1,,1,,,,,,1,5,No
Blue Knob,,,,,,,,,,2,,2,,,,,,1,5,No
Blue Mountain,,,,,,2,,1,,1,,1,,,,,,7,12,No
Boyce Park,,,,,,,,,,,,1,,,,,,1,2,No
Camelback,,,,,,1,,1,1,3,,3,,,,,,4,13,No
Elk Mountain,,,,,,,,,1,,,5,,,,,,,6,No
Hidden Valley (Pennsylvania),,,,,,,,,2,2,,,,,,,2,2,8,No
Jack Frost Mountain,,,,,,,,,4,,,2,,,,,,,6,No
Laurel Mountain,,,,,,,,,1,,,,,,,,1,,2,No
Liberty Mountain,,,,,,,,,5,,,,,,,,,2,7,No
Montage Mountain Resort,,,,,,,,,1,3,,1,,,,,,1,6,No
Mount Pleasant,,,,,,,,,,1,,,,,,1,,1,3,No
Mystic Mountain,,,,,,,,,1,,,,,,,,1,,2,No
Roundtop,,,,,,,,,3,2,,,,,1,,,3,9,No
Seven Springs,,,,,,2,,,4,4,,,,,,,1,3,14,No
Shawnee Mountain,,,,,,,,1,1,,,4,,,,,,3,9,No
Big Bear at Masthope Mountain,,,,,,,,,,,,4,,,,,,3,7,No
Sawmill Mountain Resort,,,,,,,,,,1,,1,,2,,,,,4,No
Spring Mountain,,,,,,,,,,1,,3,,,,,1,1,6,No
Tussey Mountain,,,,,,,,,1,,,1,,1,,,,,3,No
Whitetail,,,,,,,,1,3,,,1,,,,,,2,7,No
Yawgoo Valley,,,,,,,,,,,,2,,,,,1,,3,No
Great Bear Ski Valley,,,,,,,,,1,,,,,,,,1,1,3,No
Terry Peak,,,,,,,,3,,1,,,,,,,,1,5,No
Ober Mountain,1,,,,,,,,3,,,,,,,,,2,6,No
Alta,,,,,,1,,3,1,1,,1,,,,1,1,2,11,No
Beaver Mountain,,,,,,,,,,3,,1,,,,,,2,6,No
Brian Head,,,,,,,,2,,5,,1,,,,,,2,10,No
Brighton,,,,,,1,,3,1,1,,,,,,,,2,8,No
Cherry Peak,,,,,,,,,,3,,,,,,,,1,4,No
Deer Valley,,2,,,,2,,20,1,5,,1,,,,1,,5,37,No
Eagle Point,,,,,,,,,1,1,,2,,,,1,,,5,No
Nordic Valley,,,,,,1,,,,1,,2,,,,,,1,5,No
Park City,,3,1,1,,6,,10,5,7,,3,,,,,2,3,41,No
Powder Mountain,,,,,,,,3,7,,,,,,,1,1,1,13,No
Snowbasin,1,2,,,,3,,3,,1,,,,,,,1,2,13,No
Snowbird,1,,,,,,,6,1,,,3,,,,,,3,14,No
Solitude,,,,,,1,,3,2,1,,1,,,,,,1,9,No
Sundance,,,,,,,,1,4,1,,,,,,,,3,9,No
Ascutney Mountain,,,,,,,,,,,,,,1,,,1,,2,Yes
Bolton Valley,,,,,,,,,2,,,3,,,,,1,,6,No
Living Memorial Park – Brattleboro,,,,,,,,,,,,,,1,,,,,1,Yes
Bromley Mountain,,,,,,,,1,1,,,4,,1,,,,2,9,No
Burke Mountain,,,,,,,,2,,,,,,1,1,,,1,5,No
Cochran,,,,,,,,,,,,,,1,,,1,,2,Yes
Hard’ack (Aldis Hill),,,,,,,,,,,,,,,,,1,,1,Yes
Jay Peak,1,,,,,,,1,3,1,,1,,,,,,2,9,No
Killington,,2,,,,2,,4,5,2,,1,,,,1,,3,20,No
Lyndon Outing Club,,,,,,,,,,,,,,1,,,1,,2,Yes
Mad River Glen,,,,,,,,,,,,3,1,,,,1,,5,No
Magic Mountain (Vermont),,,,,,,,,1,,,2,,,,,1,1,5,No
Middlebury College Snow Bowl,,,,,,,,,1,2,,,,,,,,1,4,No
Mount Snow,,,,,,2,,4,,5,,2,,,,,1,5,19,No
Northeast Slopes,,,,,,,,,,,,,,1,,,2,,3,Yes
Okemo,,,,,,2,,4,5,2,,,,,,1,,6,20,No
Pico Mountain,,,,,,,,2,,2,,2,,,,,,1,7,No
Quechee Lakes Ski Area,,,,,,,,,1,,,,,1,,,1,,3,No
Saskadena Six,,,,,,,,,1,,,1,,,,,,1,3,No
Smugglers’ Notch,,,,,,,,,,,,6,,1,,,,2,9,No
Stowe,,2,,,,1,,3,1,1,,2,,,,,,2,12,No
Stratton,,1,,,,4,,1,2,1,,1,,,,,,4,14,No
Sugarbush,,,,,,,,5,6,1,,1,,1,,,,3,17,No
Bryce Resort,,,,,,,,,3,,,,,,,,,2,5,No
The Omni Homestead,,,,,,,,,,,,1,,,,,1,,2,No
Massanutten,,,,,,,,1,2,1,,,,,,,,3,7,No
Wintergreen Resort,,,,,,2,,,1,1,,1,,,,,,3,8,No
49 Degrees North,,,,,,,,1,1,,,4,,,,,,1,7,No
Badger Mountain,,,,,,,,,,,,,,1,,,2,,3,Yes
Bluewood,,,,,,,,1,,1,,,,,,,,2,4,No
Crystal Mountain (Washington),,1,,,,2,,2,1,2,,2,,,,,,1,11,No
Echo Valley – Lake Chelan,,,,,,,,,,,,,,,,1,3,,4,Yes
Hurricane Ridge,,,,,,,,,,,,,,,,1,2,,3,Yes
Leavenworth Ski Hill,,,,,,,,,,,,,,,,,2,,2,Yes
Loup Loup Ski Bowl,,,,,,,,,1,,,,,,,1,1,,3,No
