name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,74.0,1181,1870,689,11,New York,4
Snowy Range,https://www.skiresort.info/ski-resort/snowy-range/,69.0,8786,9662,876,10,Wyoming,4
Eaglecrest – Juneau,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,75.0,1148,2690,1542,11,Alaska,4
Skiland – Mt. Aurora,https://www.skiresort.info/ski-resort/skiland-mt-aurora/,55.0,1394,2444,1050,11,Alaska,1
Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,85.0,4692,5709,1017,11,Oregon,5
Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,80.0,5338,6778,1440,11,Montana,4
Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,90.0,2080,3150,1070,10,Pennsylvania,4
Turner Mountain,https://www.skiresort.info/ski-resort/turner-mountain/,45.0,3842,5951,2110,9,Montana,1
Nub's Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,110.0,919,1322,404,12,Michigan,11
Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,64.0,1444,1837,394,7,Minnesota,6
Whitecap Mountains,https://www.skiresort.info/ski-resort/whitecap-mountains/,85.0,1447,1768,322,9,Wisconsin,6
Sipapu,https://www.skiresort.info/ski-resort/sipapu/,72.0,8202,9268,1066,11,New Mexico,5
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821,2657,837,9,Vermont,3
Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,68.0,7736,8661,925,9,Idaho,2
Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,79.0,4672,5505,833,9,North Carolina,8
Mt. Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339,7500,1161,8,Oregon,5
Catamount,https://www.skiresort.info/ski-resort/catamount/,105.0,902,1903,1001,9,New York,5
Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,89.0,1706,2690,984,9,Pennsylvania,7
Sleeping Giant,https://www.skiresort.info/ski-resort/sleeping-giant/,70.0,6644,7431,787,11,Wyoming,3
Whitetail,https://www.skiresort.info/ski-resort/whitetail/,128.0,856,1788,932,6,Pennsylvania,6
Plattekill,https://www.skiresort.info/ski-resort/plattekill/,98.0,2283,3327,1043,10,New York,4
Tenney Mountain,https://www.skiresort.info/ski-resort/tenney-mountain/,85.0,748,2149,1401,9,New Hampshire,5
Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,60.0,1001,2100,1099,9,Maine,3
Mt. Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,95.0,623,1460,837,8,Michigan,2
Tahoe Donner,https://www.skiresort.info/ski-resort/tahoe-donner/,110.0,6749,7349,600,9,,2
Song Mountain,https://www.skiresort.info/ski-resort/song-mountain/,85.0,1312,1919,607,8,New York,5
The Balsams  (temporarily closed),https://www.skiresort.info/ski-resort/the-balsams/,,1775,2749,974,8,New Hampshire,1
Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,109.0,1247,2375,1129,6,Massachusetts,7
Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,79.0,5807,6660,853,7,Idaho,5
Mt. Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951,2001,1050,9,Maine,4
Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,70.0,4068,5315,1247,7,Washington,3
Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,96.0,820,1168,348,7,Michigan,8
Jackson Creek Summit (Snowriver Mountain Resort),https://www.skiresort.info/ski-resort/jackson-creek-summit-snowriver-mountain-resort/,119.0,1296,1936,640,6,Michigan,7
Bluewood,https://www.skiresort.info/ski-resort/bluewood/,65.0,4544,5669,1125,7,Washington,5
Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,94.0,1188,2067,879,5,New Hampshire,4
Teton Pass,https://www.skiresort.info/ski-resort/teton-pass/,59.0,6188,7198,1010,9,Montana,6
Mt. Kato,https://www.skiresort.info/ski-resort/mt-kato/,59.0,791,1027,236,7,Minnesota,10
Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,105.0,1401,2001,600,7,Pennsylvania,8
White Pine – Pinedale,https://www.skiresort.info/ski-resort/white-pine-pinedale/,65.0,8501,9501,1001,7,Wyoming,3
Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,79.0,1171,1532,361,7,Michigan,5
Deer Mountain,https://www.skiresort.info/ski-resort/deer-mountain/,,6040,6654,614,7,South Dakota,3
Wasatch Peaks Ranch,https://www.skiresort.info/ski-resort/wasatch-peaks-ranch/,,5971,9567,3596,,Utah,5
Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,72.0,715,1063,348,4,Michigan,11
Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,99.0,1234,2247,1014,7,New Hampshire,5
Devil's Head,https://www.skiresort.info/ski-resort/devils-head/,95.0,492,994,502,6,Wisconsin,6
Massanutten,https://www.skiresort.info/ski-resort/massanutten/,95.0,1749,2858,1109,5,Virginia,7
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591,1099,509,6,Pennsylvania,4
Saskadena Six,https://www.skiresort.info/ski-resort/saskadena-six/,109.0,722,1348,627,7,Vermont,3
Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,89.0,1148,1772,623,6,Michigan,11
Magic Mountain Resort,https://www.skiresort.info/ski-resort/magic-mountain-resort/,40.0,6499,7241,741,7,Idaho,2
Canaan Valley,https://www.skiresort.info/ski-resort/canaan-valley/,90.0,3428,4278,850,6,Virginia,4
Cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,65.0,8399,9098,699,6,New Mexico,2
Whaleback,https://www.skiresort.info/ski-resort/whaleback/,50.0,1138,1781,643,7,New Hampshire,3
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481,9278,797,6,Wyoming,3
Swain,https://www.skiresort.info/ski-resort/swain/,79.0,1312,1969,656,7,New York,5
Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,70.0,6955,8005,1050,6,California,3
Mt. Holly,https://www.skiresort.info/ski-resort/mt-holly/,69.0,968,1247,279,4,Michigan,13
Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,84.0,591,1165,574,6,Pennsylvania,6
Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,49.0,3999,4347,348,6,Oregon,1
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935,1949,1014,6,Pennsylvania,5
Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,56.0,1749,2402,653,7,New York,4
Hidden Valley (PA),https://www.skiresort.info/ski-resort/hidden-valley-pa/,76.0,2395,2920,525,6,Pennsylvania,6
Soda Springs,https://www.skiresort.info/ski-resort/soda-springs/,70.0,6759,7323,564,6,,2
West Mountain,https://www.skiresort.info/ski-resort/west-mountain/,89.0,449,1427,978,6,New York,5
Spout Springs  (temporarily closed),https://www.skiresort.info/ski-resort/spout-springs/,35.0,4921,5479,558,6,Oregon,2
Warner Canyon – Lakeview,https://www.skiresort.info/ski-resort/warner-canyon-lakeview/,40.0,5699,6480,781,6,Oregon,1
Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,80.0,787,1280,492,6,Michigan,4
Pine Mountain,https://www.skiresort.info/ski-resort/pine-mountain/,69.0,1148,1512,364,6,Michigan,4
Winterplace,https://www.skiresort.info/ski-resort/winterplace/,85.0,2995,3599,604,6,Virginia,10
